embedding_size,esm_layer,n_epochs,batch_size,test_size,precision,recall,f1,support
640,6,10,8,0.2,0.5337423312883436,0.2636363636363636,0.35294117647058826,2159
640,6,10,16,0.2,0.5157894736842106,0.296969696969697,0.3769230769230769,2159
640,6,20,8,0.2,0.48333333333333334,0.2636363636363636,0.3411764705882353,2159
640,6,20,16,0.2,0.5230769230769231,0.3090909090909091,0.38857142857142857,2159
640,6,50,8,0.2,0.5337423312883436,0.2636363636363636,0.35294117647058826,2159
640,6,50,16,0.2,0.5207100591715976,0.26666666666666666,0.3527054108216433,2159
640,8,10,8,0.2,0.5060240963855421,0.2545454545454545,0.3387096774193548,2159
640,8,10,16,0.2,0.5521472392638037,0.2727272727272727,0.36511156186612576,2159
640,8,20,8,0.2,0.5348837209302325,0.2787878787878788,0.3665338645418327,2159
640,8,20,16,0.2,0.5059523809523809,0.25757575757575757,0.3413654618473896,2159
640,8,50,8,0.2,0.5087719298245614,0.2636363636363636,0.3473053892215569,2159
640,8,50,16,0.2,0.5060240963855421,0.2545454545454545,0.3387096774193548,2159
640,20,10,8,0.2,0.5337423312883436,0.2636363636363636,0.35294117647058826,2159
640,20,10,16,0.2,0.48044692737430167,0.2606060606060606,0.3379174852652259,2159
640,20,20,8,0.2,0.5398773006134969,0.26666666666666666,0.35699797160243407,2159
640,20,20,16,0.2,0.4861878453038674,0.26666666666666666,0.34442270058708413,2159
640,20,50,8,0.2,0.5185185185185185,0.296969696969697,0.37764932562620424,2159
640,20,50,16,0.2,0.5374149659863946,0.23939393939393938,0.3312368972746331,2159
1280,6,10,8,0.2,0.5592105263157895,0.25757575757575757,0.35269709543568467,2159
1280,6,10,16,0.2,0.5266272189349113,0.2696969696969697,0.35671342685370744,2159
1280,6,20,8,0.2,0.5491329479768786,0.2878787878787879,0.37773359840954274,2159
1280,6,20,16,0.2,0.5602409638554217,0.2818181818181818,0.375,2159
1280,6,50,8,0.2,0.5477707006369427,0.2606060606060606,0.3531827515400411,2159
1280,6,50,16,0.2,0.5379746835443038,0.25757575757575757,0.3483606557377049,2159
1280,8,10,8,0.2,0.6106194690265486,0.20909090909090908,0.3115124153498871,2159
1280,8,10,16,0.2,0.5304878048780488,0.2636363636363636,0.3522267206477733,2159
1280,8,20,8,0.2,0.5675675675675675,0.2545454545454545,0.3514644351464435,2159
1280,8,20,16,0.2,0.5222929936305732,0.24848484848484848,0.33675564681724846,2159
1280,8,50,8,0.2,0.5217391304347826,0.2545454545454545,0.3421588594704684,2159
1280,8,50,16,0.2,0.5185185185185185,0.2545454545454545,0.34146341463414637,2159
1280,20,10,8,0.2,0.5506329113924051,0.2636363636363636,0.35655737704918034,2159
1280,20,10,16,0.2,0.48633879781420764,0.2696969696969697,0.3469785575048733,2159
1280,20,20,8,0.2,0.5882352941176471,0.2727272727272727,0.37267080745341613,2159
1280,20,20,16,0.2,0.5280898876404494,0.28484848484848485,0.3700787401574803,2159
1280,20,50,8,0.2,0.5180722891566265,0.2606060606060606,0.3467741935483871,2159
1280,20,50,16,0.2,0.5641025641025641,0.26666666666666666,0.36213991769547327,2159
